Text,Original_sentiment,Sentiment_OpenAI,Tokens_OpenAI,Sentiment_LLMLingua,Tokens_LLMLingua
i checked. we didn`t win,neutral,negative,12,negative,1
"sitting here, waiting to go to the gym.....almost left, then realized i never charged my ipod from my trip to wisconsin....it`s dead",neutral,Negative,29,Negative,1
i feel sorry for my bestie good luck ali!,neutral,positive,16,positive,1
airsoft is so much fun! i play with my brothers and it`s a great bonding experience.,positive,Positive,23,Positive,1
alice doesn`t know what to wear to the cinema <3,negative,Neutral,17,Neutral,1
sad that david is leaving tomoro. for a week.,negative,negative,16,negative,1
yeah yesterday i turned 16. my parents rented me out a hummer limo. it was pretty cool,positive,Positive,24,positive,1
wake~n~bake monday,neutral,neutral,9,Neutral,1
let`s go!,neutral,positive,9,Positive,1
i considered being a nurse when i was younger but i really don`t think i could cope if a baby died,negative,negative,28,negative,1
"really tired. and have to work the whole day tomorrow, the thought of it depresses me. uncoooool....",negative,Negative,24,negative,1
going to work,neutral,neutral,10,neutral,1
the mediteranian kitchen...oh well can`t get them all right.,neutral,Neutral,16,Negative,1
making german apple slice nom nom nom,positive,positive,14,Positive,1
_90 haha agreed lol,positive,Neutral,11,Positive,1
"_d you`re gonna take good care of that little baby and he`s gonna be a strong boy, that`s for sure",positive,Positive,27,positive,1
"sadly, i can`t view that site due to region restrictions",negative,negative,17,negative,1
after 11 months....back to twitter again,neutral,Neutral,13,positive,1
he`s an amazing jockey! saw that clydesdale commercial too..loved it!,positive,Positive,17,Positive,1
off to work i go,neutral,Neutral,12,neutral,1
"if you had owned an *actual* cellphone, that would have been video, and called a 'qik'",neutral,Neutral,23,Negative,1
watching gilmore girls reruns!! don`t know what else to do for the day,neutral,Positive,20,Positive,1
yes because those taxes disguise the booking fees and commissions that online travel portals charge. try ixigo.com next time,neutral,Neutral,26,Neutral,1
i`m concerned for that family,positive,negative,12,negative,1
good morning from rsa twitterverse!! please send me some happy vibes & cheerfulness today i`m feeling a little sad,neutral,Neutral,26,positive,1
well that propels people to change direction. no point wasting your days on something you lost the passion for.,negative,positive,26,negative,1
where r all the 5am tweets from people...oh that`s right...they opened the #houseofrock last night so they`re still in bed,neutral,negative,27,Negative,1
farewelling an employee tonight...,neutral,neutral,11,neutral,1
tiiiired but i cant sleep,negative,negative,12,Negative,1
"hey bud, we just shot you an email",neutral,Neutral,15,neutral,1
trying to find someone to go to the mall with.,neutral,Neutral,17,neutral,1
sadly brother told me there are no skateparks where he lives. bummer!,negative,negative,19,negative,1
now i have a sunburn,negative,negative,12,negative,1
listening to busted - 3am. i miss them,negative,positive,15,positive,1
oh no! my fun weekend with friends is gone! my mother has made a family weekend of it! ****,negative,Negative,26,Negative,1
i so wish i could get pregnant!!,positive,positive,14,positive,1
might have broken text messages.,negative,Neutral,12,Negative,1
is it the bit where hollie started crying?,neutral,Neutral,15,neutral,1
u don`t have school today????,neutral,neutral,12,neutral,1
"grr. we are only allowed gas grills where i live, it sucks.",negative,Negative,19,negative,1
chillen trying to figure this thing out gettin drunk,positive,Negative,16,negative,1
just finished yet another amazing book by susan elizabeth philips!!! god i love her books so much!!! which one to read next??? hmmm...,positive,Positive,30,positive,1
awhile ago it freaking hot! now it`s wet turn off!,negative,Negative,17,negative,1
i still have an hour.,neutral,neutral,12,neutral,1
what up? why no tweets. are you also filming in a place w/ no signal? .hmmm.,neutral,Neutral,23,Neutral,1
"home for the nite, sleeping on the pull out bed with maggie. wishing it was _durden i got to find a apt",neutral,Neutral,29,negative,1
great! i`m glad you enjoy them i hope you have a great day,positive,Positive,20,Positive,1
up late with nothin 2 do.....,neutral,negative,13,neutral,1
jus got back from a run up sunset blvd! my cuzin tried to kill me my legs are still movin and i`m sittin down!!,negative,Negative,31,Negative,1
"100,000 / 60 = 1667 words/day. 1667 / 10 = 167 words/hour. 167 / 60 = 2.8 words/minute. no pressure.",positive,Neutral,27,Neutral,1
out for ultimate training. looking forward to the sunset!,positive,Positive,16,Positive,1
we shuld do a dance like that its seriously the best thing haha. see yu tomoro.,positive,Positive,23,positive,1
"haha lol no one is effing cool as you, you got the wu-tang and p.e. t-shirts! you are gorgeous + represent at the same time",positive,Positive,32,Positive,1
"i know dude, i`m doing re-runs, making jenny watch them now too so we can have conversations lol. haven`t been online much",neutral,Neutral,29,Neutral,1
downing a glass of ginger ale and then relishing an early evening in bed with 'because i said so' on lifetime.,neutral,Positive,28,Positive,1
thinks revising in the garden from 8 this morning without sunscreen isnt the best idea ive had oucccccccch,negative,negative,25,Negative,1
not well again it`s definitely not hayfever,negative,negative,14,negative,1
is off to work ... still 'recovering' from an amazing and beautiful weekend. have i mentioned how incredible my friends are??,positive,Positive,28,Positive,1
"no transport for church wont be making it, im crushed. oh well, more time for assignments i suppose. my throat really hurts ...",negative,Negative,30,Negative,1
glorious sunny day in london town.. i`m in drama school fighting people with swords while protecting my romantically structured face,positive,positive,27,positive,1
well thank your phone for me.,positive,Neutral,13,Neutral,1
"well, my question is on your blog post",neutral,Neutral,15,Neutral,1
what`s the matter?,neutral,neutral,10,neutral,1
on a 10min brake. at wrrkk ... its 11:06 and its over at. 11:16,neutral,neutral,21,Neutral,1
i think your blog should`ve been on the list,neutral,Neutral,16,positive,1
lol -catch me if u can,neutral,Neutral,13,Neutral,1
yup! now i can join in on the nin access fun!,positive,Positive,18,positive,1
_louise bless ya... i know that feeling all too well!,positive,Positive,17,positive,1
it is possible to frown while eating a frosty,neutral,neutral,16,neutral,1
up and at`m getting ready for work,neutral,positive,14,Positive,1
grrrrrrrrrrrrrr ive barely read any of it,neutral,negative,14,Negative,1
why did i drive and how did i make it? ahh margaritas are the best!!,positive,Positive,22,Positive,1
"_fan76 rofl! that`s my problem, only two hands",negative,Neutral,15,Neutral,1
so many farewell parties! sad to see people leaving ..,negative,negative,17,negative,1
"gosh, watchin cosmetic surgery nightmares on itv , it is awful",negative,Negative,18,negative,1
i love that song! i was starting to think i was the only one that knew that one! #sameperson,positive,Positive,26,Positive,1
will do hun. yes yes.,neutral,Neutral,12,Positive,1
"thank you. usually the learning happens after i get a little rest and review my notes. which reminds me, i`d better get some rest",positive,Positive,31,Positive,1
hahaha niene ur soo smart.! lmao i think that is who its by.. good lookin.. whts up gurlie?? i come home this weekend.!,positive,Positive,30,Positive,1
packing gym bag. off to the gym in a bit. squee! i`m my happiest whem i`m on the go.,positive,Positive,26,Positive,1
with hubby at the dentist ready to hold his hand and getting nervy about potentially buying a car tomorrow,negative,positive,26,Positive,1
hahaha! alright ..,positive,Positive,10,Positive,1
happy birthday ness!!,positive,positive,10,positive,1
thanks anyway,positive,Neutral,9,Positive,1
dammit. i need new cupcake tins,negative,negative,13,negative,1
learning tat the scenic way din plan to go town but somehow was herded there?,neutral,Neutral,22,Neutral,1
finally made it to the qc...happy mother`s day! got my car!!,positive,Positive,18,positive,1
watching snl with guess justin timberlake...omg! he is too funny! hahahah,positive,Positive,18,Positive,1
"ok i`m frustrated, there is hella dust between the screens of my blackberry",negative,Negative,20,negative,1
went 2 see the hannah montana movie wiv jodie on friday and it was well good but i feel nasty for laughing at the lil girl that cryed lol,neutral,Negative,36,Negative,1
i need a hug cuz these garbage truck men keep driving next to me whistling and im working too hard 2 graduate...,positive,Negative,29,Negative,1
follow me too,neutral,neutral,10,Neutral,1
humidity is not my friend! just ask my hair,negative,negative,16,negative,1
"waiting for aaron to get into town, and then leave him for work. booo",negative,negative,21,negative,1
caught tweets on it and got home in time for the last 5 mins of the itv2 show!! #bgt out tonight too so will miss it again,negative,Positive,34,Positive,1
looking at our photo shoot pics...check out our myspace pics to see them...i love them all...,positive,Positive,23,Positive,1
i broke my ipod,negative,negative,11,negative,1
"think you should do a tour in england, we dont got to see any aweomse people !!",negative,Positive,24,positive,1
omg - madness just came on the radio,negative,positive,15,positive,1
not at all happy...dont know what the reason is,negative,Negative,16,Negative,1
one of our governors is one of the directors of the company,neutral,neutral,19,neutral,1
ahh ok! enjoy! i`ll miss it,neutral,The sentiment of the text is positive.,13,Positive,1
senior ball was hella fun!!! good night!!!,positive,positive,14,Positive,1
wow that was fast...next up soderling or ferrer. gilles simon lost,negative,Neutral,18,Neutral,1
had fun at the airshow with the boys today - exhausted,neutral,Positive,18,positive,1
no trump casino in vegas.,neutral,negative,12,negative,1
says my new layout is so cute x) see the cuties ? hahahah http://plurk.com/p/suqp6,positive,Positive,21,positive,1
lol exams i didn`t go to mcast or other school i finished form 5 and that`s it soo disappointed in myself,negative,Negative,28,Negative,1
"missed all your tweets again joe, **** that time difference!!! (uk) dont 4get about your fave supporters in the uk!!! ****",neutral,Negative,28,Negative,1
yea!! way to go! super excited for a great midwest resource!!! midwest pride!,positive,Positive,20,positive,1
saw the blink show from the tmobile party. i`m speachless,neutral,Positive,17,positive,1
wow the last hour of twittering that i`ve been doing has yet to be sent over to twitter.. guys bare w me...,negative,neutral,29,Neutral,1
yay doctors now interview then back 2 the doctor`s for blood work,neutral,Positive,19,Positive,1
"i could, but that would require today not to be a duvet day. i imagine that my outfit for the wendyhouse will be photo worthy",neutral,The sentiment of the text is positive.,32,Positive,1
how come?,neutral,Neutral,9,neutral,1
yup its working. they couldn`t recover anything on it though,negative,Neutral,17,negative,1
"_d aaaww!! that`s so good to know, i`m glad james is doing great we love you guys! kisses from venezuela!",positive,Positive,27,positive,1
"home, good night world",positive,positive,11,Positive,1
i think you should do it with hannah,neutral,Neutral,15,Neutral,1
i`d love to but i think the trek from london would be a bit too much,neutral,neutral,23,neutral,1
"yay, watching supernatural .. great way to end a hard day. i miss you jesse.",neutral,Positive,22,Positive,1
well off 2 bed...cant wait 2 party 4 mother`s day in like 14 hours or so,positive,Positive,23,Positive,1
still freakin out about missing the game!!! #jonasnewsongs,negative,The sentiment of the text is positive.,15,Negative,1
"so hot today =_= don`t like it and i hate my new timetable, having such a bad week",negative,Negative,25,Negative,1
getting stressed over a sortie tomorrow. and like i am really really stress..,negative,Negative,20,negative,1
thanks! i`m totally bushed today though time for some coding,positive,Positive,17,Positive,1
"ben & jerry`s fail. got email for free ice cream. says click here to redeem coupon. when i click, i get error message",negative,negative,30,negative,1
"omg, no icecream",negative,negative,10,negative,1
home alone and no one left me any gummy bears,negative,negative,17,negative,1
"eatin dinna, herd tom brady not movin 2 fast",neutral,Negative,16,negative,1
fatty! omg i just found the worst **** out and idk what to do i need to talk to you!! hopefully i see you when you get off work.,neutral,Negative,36,Negative,1
ahhh my mommie got me new sheets for my bed so comfy,positive,Positive,19,Positive,1
_**** cheer up lizzi there will b another foh hero concert but still i suppose we can b upset xoxoxo,negative,Positive,27,Positive,1
"#sanctuarysunday thanks for joining on #sanctuarysunday, follow more sanctuary people to keep up to date on the tweets!",positive,Positive,25,Positive,1
welcome,positive,neutral,8,positive,1
"_jlh lol that`s a special kind of magic, though! ;) and did you see the special on discovery? they think nessie died.",neutral,Positive,29,Positive,1
"thanks, hope you have a good one",positive,Positive,14,Positive,1
is in php website upgrade hell on a bank holiday. how`s that for planning!,neutral,negative,21,negative,1
ooo my goddddd; vodafone trouble. no network,negative,negative,14,negative,1
"_griffiths there was a good atmos. i decided to stay til closing, very funny!",positive,Positive,21,Positive,1
writing an essay in college writing so boring,negative,negative,15,negative,1
"glad to hear you made it out, i hear that place used to be it`s own country looking forward to your arrival!",positive,Positive,29,Positive,1
"i would lime them. or lemon? and deal, sounds fabulous to me! text me up when you`re back",positive,Positive,25,Positive,1
"hey, is your site down? i was going to listen to the web stream but can`t get to the site...",negative,negative,27,negative,1
that`s actually not too far from the truth,neutral,Neutral,15,Neutral,1
on way back home after a crazy night on the coast,neutral,positive,18,positive,1
arrr bummer who do you want to win?,neutral,Neutral,15,negative,1
bye la... i already miss you,negative,Negative,13,Negative,1
"never realized how good #techmeme is until i actually read it (duh!) as an avid tech crunch reader, this is much better...",positive,Positive,29,Positive,1
no way to comment on site unless you are a member,neutral,negative,18,negative,1
just finished down loading aim6.9 and guess what! i can get updates from twitter on it! message me at: i am katie arttt,neutral,Positive,30,positive,1
"is at work.... boo! the pin-ups will be playing at uncommon ground wednesday night at 9 p.m.! (1401 w. devon ave., chicago 60660",neutral,Neutral,30,Neutral,1
orange vitamin water 10 is my new addiction u should try it.,neutral,Positive,19,Positive,1
i want to get super pretty and i want a cig,neutral,negative,18,negative,1
nachos and the tudors? i think so,neutral,Positive,14,positive,1
you should check yourz rayne.,neutral,Neutral,12,Neutral,1
i am so sorry,negative,neutral,11,negative,1
"lazy day, staying off the foot as much as possible.",neutral,The sentiment of the text is 'neutral'.,17,negative,1
i kno!!! im so sad! evry1 is leavin its horrible! im supposed to b happy for summer but i cant ima miss evry1!,negative,Negative,30,negative,1
had a lovely breakfast with mum...yummy pancakes,positive,Positive,14,positive,1
"hate working when its sunny,boohoo",negative,negative,12,negative,1
_berland lmao i know i know,neutral,Neutral,13,Neutral,1
fun is being had.,positive,positive,11,positive,1
i so can`t be bothered working tomorrow!,positive,negative,14,negative,1
i`m all scared and bruised.,negative,Negative,12,negative,1
"trying this twitter thing out. facebook is finally a routine for me, now i need to figure out how to do the twitter thing",neutral,Neutral,31,Neutral,1
homework. ew fml. should i pull an all nighter? i think i`m gonna have to again,neutral,Negative,23,Negative,1
"we didn`t...but we did have to wait a good twenty minutes for one. good night, though!",positive,Neutral,23,Neutral,1
good day in the sun... little bit burnt tho... well actualy quite alot very sore heh,neutral,Negative,23,Negative,1
whatever do you mean?,neutral,Neutral,11,Neutral,1
"yeah, it`s terrible cockatoos are the hardest to live with, so emotional. good thing he found you, though!!",neutral,Positive,25,Positive,1
will play quake3 in 3min,neutral,Neutral,12,Neutral,1
i am thinking about reading that too! she is talking about it on the view too! not that you miss it often,neutral,Positive,29,Positive,1
"http://twitpic.com/4jbwh - we were at a sleepover, and nobody stops me when there`s a camera in my hand",neutral,neutral,25,neutral,1
ok so this eye doctor guy is taking forever and i`m sitting in a cold room by myself...what? a jerk!,negative,Negative,27,Negative,1
tonight was fun,positive,positive,10,positive,1
i wish i could go to meet in the middle tomorrow.,positive,Neutral,18,Neutral,1
"hahaha chivalry`s not dead, just rare",positive,Positive,13,positive,1
"lmao, yep",neutral,Neutral,9,Positive,1
is watching acoustic performances! & in the mood for a good 'friends' episode! i miss that show,neutral,The sentiment of the text is positive.,24,positive,1
having a cup of tea i have a cold so it`s tasting really good!,positive,positive,21,positive,1
"don`t think i`m gonna be able to go to see the jb 3d concert...wrong time, no where very close by",negative,Negative,27,Negative,1
blah to car repairs... almost 600 dollars... shopping around for a better deal.,negative,Negative,20,negative,1
gettin ready to hit up the mall w/my mom & jayden! do all things w/faith!!!!,positive,Positive,22,Positive,1
got to see 2 of my favorite guys back on long island heading back to the city tomorrow or monday to be with the boyfriend! <3,negative,Positive,33,positive,1
`s current goal is to lose 10 pounds by next tuesday! 120 here i come soooo ready for gatlinburg!,positive,Positive,26,Positive,1
actually workin from home tonight... you?,neutral,Neutral,13,Neutral,1
http://twitpic.com/66xjl - an hour in the sun turned me into a blancmange. sucks to be pale,negative,The sentiment of the text is negative.,23,negative,1
imma miss dem kobe nd bron commrcials wen cleveland get knocked out doe they wer funny,neutral,negative,23,Negative,1
have fun tomorrow night. i think it will be more fun at a bar than art gallery. wish i could be there,positive,Positive,29,Positive,1
a little twitter mention on snl,neutral,neutral,13,neutral,1
"happy mothers day to all the moms it`s a tough job, but totally worth it!",positive,positive,22,Positive,1
i have not been this sick in years. omg. this sucks so bad. sickness ended up including a full restroom cleanup.,negative,Negative,28,Negative,1
"does not feel like babysitting. i want to go to the gym. weird, i know. i miss zack",negative,Neutral,25,Neutral,1
"go to mid valley la **** haha! never mind la, i don`t wanna go with you anyways",neutral,Negative,24,negative,1
"just noticed the new sidebar on twitter.com, looks nice",positive,Positive,16,Positive,1
just finished watching star trek in imax. . . could`ve watched it all night. . . live long and prosper,positive,Positive,27,Positive,1
i wanna feel my chin,neutral,neutral,12,Neutral,1
i got the new silverstein cd. aha. its amazing. i highly recomend it.,positive,Positive,20,positive,1
_brown been holding onto this one for a while http://twitpic.com/4w5eh,neutral,neutral,17,neutral,1
